"1","Bret","False","delectus aut autem"
"1","Bret","False","quis ut nam facilis et officia qui"
"1","Bret","False","fugiat veniam minus"
"1","Bret","True","et porro tempora"
"1","Bret","False","laboriosam mollitia et enim quasi adipisci quia provident illum"
"1","Bret","False","qui ullam ratione quibusdam voluptatem quia omnis"
"1","Bret","False","illo expedita consequatur quia in"
"1","Bret","True","quo adipisci enim quam ut ab"
"1","Bret","False","molestiae perspiciatis ipsa"
"1","Bret","True","illo est ratione doloremque quia maiores aut"
"1","Bret","True","vero rerum temporibus dolor"
"1","Bret","True","ipsa repellendus fugit nisi"
"1","Bret","False","et doloremque nulla"
"1","Bret","True","repellendus sunt dolores architecto voluptatum"
"1","Bret","True","ab voluptatum amet voluptas"
"1","Bret","True","accusamus eos facilis sint et aut voluptatem"
"1","Bret","True","quo laboriosam deleniti aut qui"
"1","Bret","False","dolorum est consequatur ea mollitia in culpa"
"1","Bret","True","molestiae ipsa aut voluptatibus pariatur dolor nihil"
"1","Bret","True","ullam nobis libero sapiente ad optio sint"
